title,productor
"Cheaper by the Dozen 2","21 Laps Entertainment"
"Cheaper by the Dozen 2","Dozen Canada Productions"
"Eat Pray Love","Columbia Pictures"
"Eat Pray Love","Red Om Films"
"Eat Pray Love","Plan B Entertainment"
"The Family Man","Universal Pictures"
"RED","DC Comics"
"RED","Di Bonaventura Pictures"
"RED","Summit Entertainment"
"RED","DC Entertainment"
"Any Given Sunday","Donners' Company"
"Any Given Sunday","Ixtlan"
"Any Given Sunday","Warner Bros."
"The Horse Whisperer","Wildwood Enterprises"
"The Horse Whisperer","Touchstone Pictures"
"Collateral","Paramount Pictures"
"Collateral","DreamWorks SKG"
"Collateral","Parkes/MacDonald Productions"
"Collateral","Edge City"
"The Scorpion King","Universal Pictures"
"The Scorpion King","Kalima Productions GmbH & Co. KG"
"The Scorpion King","World Wrestling Entertainment (WWE)"
"The Scorpion King","Alphaville Films"
"Ladder 49","Casey Silver Productions"
"Ladder 49","Beacon Communications"
"Ladder 49","Touchstone Pictures"
"Ladder 49","Beacon Pictures"
"Ladder 49","Fantail Films Inc."
"Jack Reacher","Paramount Pictures"
"Jack Reacher","Mutual Film Company"
"Jack Reacher","Skydance Productions"
"Jack Reacher","TC Productions"
"Deep Blue Sea","Village Roadshow Pictures"
"Deep Blue Sea","Warner Bros."
"Deep Blue Sea","Riche-Ludwig Productions"
"Deep Blue Sea","Groucho III Film Partnership"
"Michael Jackson's This Is It","Columbia Pictures"
"Contagion","Double Feature Films"
"Contagion","Regency Enterprises"
"Contagion","Warner Bros."
"Contagion","Participant Media"
"Contagion","Imagenation Abu Dhabi FZ"
"Kangaroo Jack","Castle Rock Entertainment"
"Kangaroo Jack","Jerry Bruckheimer Films"
"Kangaroo Jack","Warner Bros."
"Coraline","Focus Features"
"Coraline","Laika Entertainment"
"The Happening","Spyglass Entertainment"
"The Happening","Twentieth Century Fox Film Corporation"
"The Happening","Dune Entertainment"
"The Happening","UTV Motion Pictures"
"The Happening","Blinding Edge Pictures"
"Man on Fire","Regency Enterprises"
"Man on Fire","Fox 2000 Pictures"
"Man on Fire","Epsilon Motion Pictures"
"Man on Fire","Scott Free Productions"
"Man on Fire","New Regency Pictures"
"The Shaggy Dog","Walt Disney Pictures"
"The Shaggy Dog","Mandeville Films"
"The Shaggy Dog","Boxing Cat Films"
"Starsky & Hutch","Weed Road Pictures"
"Starsky & Hutch","Warner Bros."
"Starsky & Hutch","Dimension Films"
"Starsky & Hutch","Red Hour Films"
"Starsky & Hutch","AR-TL"
"Jingle All the Way","Twentieth Century Fox Film Corporation"
"Jingle All the Way","1492 Pictures"
"Hellboy","Revolution Studios"
"Hellboy","Dark Horse Entertainment"
"Hellboy","Lawrence Gordon Productions"
"Hellboy","Starlite Films"
"A Civil Action","Paramount Pictures"
"A Civil Action","Wildwood Enterprises"
"A Civil Action","Touchstone Pictures"
"ParaNorman","Focus Features"
"ParaNorman","Laika Entertainment"
"The Jackal","Universal Pictures"
"The Jackal","Toho-Towa"
"The Jackal","Mutual Film Company"
"The Jackal","Marubeni"
"The Jackal","Tele München Fernseh Produktionsgesellschaft (TMG)"
"The Jackal","Alphaville Films"
"The Jackal","British Broadcasting Corporation (BBC)"
"The Jackal","UGC PH"
"The Jackal","Mel's Cite du Cinema"
"Paycheck","Paramount Pictures"
"Paycheck","DreamWorks SKG"
"Paycheck","Davis Entertainment"
"Paycheck","Lion Rock Productions"
"Paycheck","Province of British Columbia Film Incentive BC"
"Paycheck","Solomon/Hackett Productions"
"Up Close & Personal","Cinergi Pictures Entertainment"
"Up Close & Personal","Touchstone Pictures"
"The Tale of Despereaux","Larger Than Life Productions"
"The Tuxedo","DreamWorks SKG"
"The Tuxedo","Parkes+MacDonald Image Nation"
"The Tuxedo","Blue Train Productions"
"Joy","Fox 2000 Pictures"
"Joy","Davis Entertainment"
"Joy","Annapurna Pictures"
"Joy","TSG Entertainment"
"London Has Fallen","Millennium Films"
"London Has Fallen","LHF Film"
"London Has Fallen","Gerard Butler Alan Siegel Entertainment"
"London Has Fallen","Nu Boyana Film Studios"
"Shooter","Paramount Pictures"
"Shooter","Di Bonaventura Pictures"
"Shooter","Grosvenor Park Impact Productions"
"The Boxtrolls","Laika Entertainment"
"Practical Magic","Village Roadshow Pictures"
"Practical Magic","DiNovi Pictures"
"Practical Magic","Fortis Films"
"Practical Magic","Warner Bros."
"Practical Magic","Stargate Studios"
"The Lego Movie","Village Roadshow Pictures"
"The Lego Movie","DC Comics"
"The Lego Movie","Vertigo Entertainment"
"The Lego Movie","Lin Pictures"
"The Lego Movie","Warner Bros. Animation"
"The Lego Movie","LEGO"
"The Lego Movie","Warner Bros."
"The Lego Movie","Animal Logic"
"The Lego Movie","Warner Animation Group"
"The Lego Movie","RatPac-Dune Entertainment"
"Reign of Fire","The Zanuck Company"
"Reign of Fire","Spyglass Entertainment"
"Reign of Fire","World 2000 Entertainment"
"Reign of Fire","Touchstone Pictures"
"Reign of Fire","Tripod Entertainment"
"Gangster Squad","Village Roadshow Pictures"
"Gangster Squad","Lin Pictures"
"Gangster Squad","Warner Bros."
"Gangster Squad","Langley Park Production"
"Year One","Columbia Pictures"
"Year One","Ocean Pictures"
"Year One","Apatow Productions"
"Invictus","Spyglass Entertainment"
"Invictus","Malpaso Productions"
"Invictus","Revelations Entertainment"
"Invictus","Mace Neufeld Productions"
"Invictus","Warner Bros."
"Invictus","Liberty Pictures (II)"
"State of Play","Universal Pictures"
"State of Play","StudioCanal"
"State of Play","Andell Entertainment"
"State of Play","Relativity Media"
"State of Play","Working Title Films"
"Duplicity","Universal Pictures"
"Duplicity","Laura Bickford Productions"
"Duplicity","Relativity Media"
"Duplicity","Medienproduktion Poseidon Filmgesellschaft"
"My Favorite Martian","Walt Disney Pictures"
"The Sentinel","Twentieth Century Fox Film Corporation"
"The Sentinel","Dune Entertainment"
"The Sentinel","Major Studio Partners"
"The Sentinel","Regency Enterprises"
"The Sentinel","Epsilon Motion Pictures"
"The Sentinel","New Regency Pictures"
"The Sentinel","Sentinel Productions"
"The Sentinel","Furthur Films"
"Planet 51","TriStar Pictures"
"Planet 51","Ilion Animation Studios"
"Planet 51","Hand Made Films"
"Intolerable Cruelty","Imagine Entertainment"
"Intolerable Cruelty","Universal Pictures"
"Intolerable Cruelty","Mike Zoss Productions"
"Intolerable Cruelty","Alphaville Productions"
"Trouble with the Curve","Malpaso Productions"
"Trouble with the Curve","Warner Bros."
"Edge of Darkness","Icon Productions"
"Edge of Darkness","BBC Films"
"Edge of Darkness","GK Films"
"Edge of Darkness","Warner Bros."
"The Relic","Paramount Pictures"
"The Relic","Universal Pictures"
"The Relic","Toho-Towa"
"The Relic","Mutual Film Company"
"The Relic","Pacific Western"
"The Relic","PolyGram Filmed Entertainment"
"The Relic","Marubeni"
"The Relic","Tele München Fernseh Produktionsgesellschaft (TMG)"
"The Relic","British Broadcasting Corporation (BBC)"
"Analyze That","Village Roadshow Pictures"
"Analyze That","NPV Entertainment"
"Analyze That","Warner Bros."
"Analyze That","Tribeca Productions"
"Analyze That","Baltimore Spring Creek Pictures"
"Analyze That","Face Productions"
"Righteous Kill","Grosvenor Park Media Ltd."
"Righteous Kill","InVenture Entertainment"
"Righteous Kill","Millennium Films"
"Righteous Kill","Emmett/Furla Films"
"Righteous Kill","Nu-Image Films"
"Mercury Rising","Imagine Entertainment"
"Mercury Rising","Universal Pictures"
"The Soloist","DreamWorks"
"The Soloist","Universal Pictures"
"The Soloist","StudioCanal"
"The Soloist","Participant Media"
"The Soloist","Krasnoff Foster Productions"
"The Soloist","Working Title Films"
"The Legend of Bagger Vance","DreamWorks SKG"
"The Legend of Bagger Vance","Twentieth Century Fox Film Corporation"
"The Legend of Bagger Vance","Wildwood Enterprises"
"The Legend of Bagger Vance","Epsilon Motion Pictures"
"The Legend of Bagger Vance","Allied Filmmakers"
"Almost Famous","Columbia Pictures"
"Almost Famous","Vinyl Films"
"Almost Famous","DreamWorks Pictures"
"Priest","Screen Gems"
"Priest","Stars Road Entertainment"
"Priest","Buckaroo Entertainment"
"Priest","Michael De Luca Productions"
"Priest","TOKYOPOP"
"Event Horizon","Paramount Pictures"
"Event Horizon","Impact Pictures"
"Event Horizon","Golar Productions"
"Dragonfly","Universal Pictures"
"Dragonfly","Spyglass Entertainment"
"Dragonfly","Shady Acres Entertainment"
"Dragonfly","Gran Via Productions"
"Dragonfly","Kalima Productions GmbH & Co. KG"
"Dragonfly","NDE Productions"
"The Black Dahlia","Universal Pictures"
"The Black Dahlia","Davis-Films"
"The Black Dahlia","Signature Pictures"
"The Black Dahlia","Linson Entertainment"
"The Black Dahlia","Art Linson Productions"
"The Black Dahlia","Millennium Films"
"The Black Dahlia","Equity Pictures Medienfonds GmbH & Co. KG III"
"The Black Dahlia","Nu Image Entertainment GmbH"
"Flyboys","Ingenious Film Partners"
"Flyboys","Electric Entertainment"
"Flyboys","Skydance Productions"
"Flyboys","Flyboys Films"
"The Last Castle","DreamWorks SKG"
"Supernova","United Artists"
"Supernova","Metro-Goldwyn-Mayer (MGM)"
"Supernova","Hammerhead Productions"
"Supernova","Screenland Pictures"
"Winter's Tale","Village Roadshow Pictures"
"Winter's Tale","Weed Road Pictures"
"Winter's Tale","Warner Bros."
"Meet Dave","Twentieth Century Fox Film Corporation"
"Meet Dave","Dune Entertainment"
"Meet Dave","Regency Enterprises"
"Meet Dave","Guy Walks into a Bar Productions"
"Meet Dave","Deep River Productions"
"Meet Dave","Friendly Films (II)"
"Dark Water","Vertigo Entertainment"
"Dark Water","Touchstone Pictures"
"Dark Water","Post No Bills Films"
"Dark Water","Pandemonium Productions"
"Edtv","Imagine Entertainment"
"Edtv","Universal Pictures"
"Inkheart","New Line Cinema"
"Inkheart","Internationale Filmproduktion Blackbird Erste"
"The Spirit","DC Comics"
"The Spirit","Lionsgate"
"The Spirit","Odd Lot Entertainment"
"The Spirit","Media Magik Entertainment"
"The Spirit","Dark Lot Entertainment"
"The Spirit","Continental Entertainment Group (CEG)"
"Mortdecai","Lionsgate"
"Mortdecai","Mad Chance"
"Mortdecai","OddLot Entertainment"
"Mortdecai","Huayi Brothers Media"
"Beyond Borders","Mandalay Pictures"
"Beyond Borders","CP Medien AG"
"Beyond Borders","Camelot Pictures"
"Beyond Borders","Networxx - Film Management"
"Beyond Borders","Mel's Cite du Cinema"
"The Great Raid","Lawrence Bender Productions"
"The Great Raid","Marty Katz Productions"
"Deadpool","Twentieth Century Fox Film Corporation"
"Deadpool","Marvel Entertainment"
"Deadpool","The Donners' Company"
"Deadpool","TSG Entertainment"
"Deadpool","Kinberg Genre"
"Holy Man","Caravan Pictures"
"Holy Man","Touchstone Pictures"
"American Sniper","Village Roadshow Pictures"
"American Sniper","Malpaso Productions"
"American Sniper","Warner Bros."
"American Sniper","RatPac-Dune Entertainment"
"American Sniper","Mad Chance Productions"
"American Sniper","22 & Indiana Pictures"
"Goosebumps","Columbia Pictures"
"Goosebumps","Village Roadshow Pictures"
"Goosebumps","Original Film"
"Goosebumps","Sony Pictures Animation"
"Goosebumps","Sony Pictures Entertainment (SPE)"
"Goosebumps","Scholastic Entertainment"
"Goosebumps","LStar Capital"
"Just Like Heaven","DreamWorks SKG"
"Just Like Heaven","UIP"
"Just Like Heaven","MacDonald/Parkes Productions"
"The Flintstones in Viva Rock Vegas","Universal Pictures"
"The Flintstones in Viva Rock Vegas","Amblin Entertainment"
"Rambo III","TriStar Pictures"
"Rambo III","Carolco Pictures"
"Leatherheads","Universal Pictures"
"Leatherheads","Casey Silver Productions"
"Leatherheads","Outlaw Productions (I)"
"Leatherheads","Smokehouse Pictures"
"The Ridiculous 6","Happy Madison Productions"
"Did You Hear About the Morgans?","Columbia Pictures"
"Did You Hear About the Morgans?","Castle Rock Entertainment"
"Did You Hear About the Morgans?","Relativity Media"
"Did You Hear About the Morgans?","Banter"
"The Internship","Twentieth Century Fox Film Corporation"
"The Internship","Regency Enterprises"
"The Internship","21 Laps Entertainment"
"The Internship","Wild West Picture Show Productions"
"The Internship","TSG Entertainment"
"Red Tails","Lucasfilm"
"Red Tails","Twentieth Century Fox Film Corporation"
"Red Tails","Partnership Pictures"
"The Devil's Advocate","Regency Enterprises"
"The Devil's Advocate","Monarchy Enterprises B.V."
"The Devil's Advocate","Kopelson Entertainment"
"The Devil's Advocate","Warner Bros."
"The Devil's Advocate","New Regency Pictures"
"The Devil's Advocate","Taurus Film"
"That's My Boy","Columbia Pictures"
"That's My Boy","Happy Madison Productions"
"That's My Boy","Relativity Media"
"DragonHeart","Universal Pictures"
"After the Sunset","New Line Cinema"
"After the Sunset","Contrafilm"
"After the Sunset","Firm Films"
"Captain Corelli's Mandolin","Miramax Films"
"Captain Corelli's Mandolin","Universal Pictures"
"The Pacifier","Walt Disney Pictures"
"The Pacifier","Spyglass Entertainment"
"Walking Tall","Metro-Goldwyn-Mayer (MGM)"
"Walking Tall","Mandeville Films"
"Walking Tall","WWE Studios"
"Walking Tall","Hyde Park Entertainment"
"Walking Tall","Burke/Samples/Foster Productions"
"Walking Tall","Cub Eight Productions"
"Forrest Gump","Paramount Pictures"
"Alvin and the Chipmunks","Dune Entertainment"
"Alvin and the Chipmunks","Regency Enterprises"
"Alvin and the Chipmunks","Fox 2000 Pictures"
"Alvin and the Chipmunks","Bagdasarian Productions"
"Meet the Parents","DreamWorks SKG"
"Meet the Parents","Universal Pictures"
"Meet the Parents","Tribeca Productions"
"Meet the Parents","Nancy Tenenbaum Films"
"Pocahontas","Walt Disney Pictures"
"Pocahontas","Walt Disney Feature Animation"
"Superman","Warner Bros."
"Superman","Dovemead Films"
"Superman","Film Export A.G."
"The Nutty Professor","Imagine Entertainment"
"The Nutty Professor","Universal Pictures"
"Hitch","Columbia Pictures Corporation"
"Hitch","Overbrook Entertainment"
"George of the Jungle","Walt Disney Pictures"
"George of the Jungle","Mandeville Films"
"American Wedding","Universal Pictures"
"American Wedding","Zide-Perry Productions"
"American Wedding","LivePlanet"
"American Wedding","Loumolo & Co."
"Captain Phillips","Columbia Pictures"
"Date Night","Twentieth Century Fox Film Corporation"
"Date Night","Dune Entertainment"
"Date Night","21 Laps Entertainment"
"Casper","Universal Pictures"
"Casper","Amblin Entertainment"
"Casper","The Harvey Entertainment Company"
"The Equalizer","Columbia Pictures"
"The Equalizer","Village Roadshow Pictures"
"The Equalizer","Escape Artists"
"The Equalizer","Mace Neufeld Productions"
"The Equalizer","LStar Capital"
"The Equalizer","Lonetree Entertainment"
"Maid in Manhattan","Red Om Films"
"Crimson Tide","Hollywood Pictures"
"Crimson Tide","Don Simpson/Jerry Bruckheimer Films"
"The Pursuit of Happyness","Columbia Pictures Corporation"
"The Pursuit of Happyness","Escape Artists"
"The Pursuit of Happyness","Relativity Media"
"The Pursuit of Happyness","Overbrook Entertainment"
"Flightplan","Imagine Entertainment"
"Flightplan","Touchstone Pictures"
"Disclosure","Warner Bros."
"Disclosure","Baltimore Pictures"
"City of Angels","Atlas Entertainment"
"City of Angels","Regency Enterprises"
"City of Angels","Monarchy Enterprises B.V."
"City of Angels","Warner Bros."
"City of Angels","Taurus Film"
"Bowfinger","Universal Pictures"
"Tango & Cash","Warner Bros."
"Death Becomes Her","Universal Pictures"
"Shanghai Noon","Spyglass Entertainment"
"Shanghai Noon","Roger Birnbaum Productions"
"Shanghai Noon","Touchstone Pictures"
"Executive Decision","Silver Pictures"
"Executive Decision","Warner Bros."
"Mr. Popper's Penguins","Twentieth Century Fox Film Corporation"
"Mr. Popper's Penguins","Dune Entertainment"
"Mr. Popper's Penguins","Davis Entertainment"
"Mr. Popper's Penguins","Dune Entertainment III"
"The Forbidden Kingdom","Casey Silver Productions"
"The Forbidden Kingdom","China Film Co-Production Corporation"
"The Forbidden Kingdom","Huayi Brothers"
"The Forbidden Kingdom","Relativity Media"
"Free Birds","Reel FX Creative Studios"
"Free Birds","Relativity Media"
"Evita","Hollywood Pictures"
"Evita","Cinergi Pictures Entertainment"
"Ronin","United Artists"
"Ronin","FGM Entertainment"
"The Ghost and the Darkness","Constellation Films"
"The Ghost and the Darkness","Paramount"
"Paddington","The Weinstein Company"
"Paddington","StudioCanal"
"Paddington","TF1 Films Production"
"Paddington","Canal+"
"Paddington","Heyday Films"
"Paddington","Ciné+"
"Paddington","Anton Capital Entertainment (ACE)"
"Paddington","TF1"
"Paddington","Amazon Prime Instant Video"
"The Watch","Ingenious Film Partners"
"The Watch","Ingenious Media"
"The Watch","Twentieth Century Fox Film Corporation"
"The Watch","Dune Entertainment"
"The Watch","21 Laps Entertainment"
"The Watch","Dune Entertainment III"
"The Watch","Big Screen Productions"
"The Watch","Down Productions"
"The Hunted","Lakeshore Entertainment"
"The Hunted","Alphaville Films"
"Instinct","Spyglass Entertainment"
"Instinct","Touchstone Pictures"
"Stuck on You","Twentieth Century Fox Film Corporation"
"Stuck on You","Conundrum Entertainment"
"Semi-Pro","New Line Cinema"
"Semi-Pro","Donners' Company"
"Semi-Pro","Mosaic Media Group"
"Semi-Pro","Road Rebel"
"The Pirates! In an Adventure with Scientists!","Columbia Pictures"
"The Pirates! In an Adventure with Scientists!","Aardman Animations"
"The Pirates! In an Adventure with Scientists!","Sony Pictures Animation"
"Changeling","Imagine Entertainment"
"Changeling","Malpaso Productions"
"Changeling","Relativity Media"
"Chain Reaction","Twentieth Century Fox Film Corporation"
"Chain Reaction","Chicago Pacific Entertainment"
"Chain Reaction","Zanuck Company, The"
"The Fan","TriStar Pictures"
"The Fan","Mandalay Entertainment"
"The Phantom of the Opera","Odyssey Entertainment"
"The Phantom of the Opera","Warner Bros."
"The Phantom of the Opera","Scion Films"
"The Phantom of the Opera","Really Useful Films"
"Gods and Generals","Warner Bros. Pictures"
"Gods and Generals","Turner Pictures"
"Gods and Generals","Antietam Filmworks"
"Turbulence","Metro-Goldwyn-Mayer (MGM)"
"Turbulence","Rysher Entertainment"
"Imagine That","Paramount Pictures"
"Imagine That","Di Bonaventura Pictures"
"Imagine That","Nickelodeon Movies"
"Imagine That","Goldcrest Pictures"
"Imagine That","Internationale Filmproduktion Stella-del-Sud Third"
"Muppets Most Wanted","Buena Vista"
"Muppets Most Wanted","Disney"
"Thunderbirds","Studio Canal"
"Thunderbirds","Working Title Films"
"Thunderbirds","Tracy Films"
"Burlesque","Bedford Falls Productions"
"Lolita","Seven Arts Productions"
"Lolita","Allied Artists"
"Lolita","Transworld Pictures"
"D-Tox","Universal Pictures"
"Blade II","New Line Cinema"
"Blade II","Amen Ra Films"
"Blade II","Milk & Honey"
"Blade II","Imaginary Forces"
"Blade II","Justin Pictures"
"Blade II","Linovo Productions GmbH & Co. KG"
"Blade II","Pacific Title and Art Studio"
"Blade II","Marvel Enterprises"
"Seven Pounds","Columbia Pictures"
"Seven Pounds","Escape Artists"
"Seven Pounds","Relativity Media"
"Seven Pounds","Overbrook Entertainment"
"Bullet to the Head","Dark Castle Entertainment"
"Bullet to the Head","After Dark Films"
"Bullet to the Head","IM Global"
"Bullet to the Head","Automatik Entertainment"
"Bullet to the Head","Silver Reel"
"Bullet to the Head","EMJAG Productions"
"Bullet to the Head","Millar Gough Ink"
"Bullet to the Head","Headshot Films"
"Elizabethtown","Paramount Pictures"
"Elizabethtown","Cruise/Wagner Productions"
"Elizabethtown","Vinyl Films"
"Elizabethtown","KMP Film Invest"
"You, Me and Dupree","Universal Pictures"
"You, Me and Dupree","Kaplan/Perrone Entertainment"
"You, Me and Dupree","MMCB Film Produktion 2004"
"Superman II","Warner Bros."
"Superman II","Dovemead Films"
"Superman II","Film Export A.G."
"Gigli","City Light Films"
"Gigli","Revolution Studios"
"Gigli","Casey Silver Productions"
"All the King's Men","Columbia Pictures Corporation"
"All the King's Men","Rising Star"
"All the King's Men","Relativity Media"
"All the King's Men","Phoenix Pictures"
"All the King's Men","VIP 4 Medienfonds"
"Shaft","Paramount Pictures"
"Shaft","Scott Rudin Productions"
"Anastasia","Twentieth Century Fox Film Corporation"
"Anastasia","Fox Animation Studios"
"Anastasia","Fox Family Films"
"Anastasia","The Big Gun Project"
"Anastasia","Little Wolf Entertainment"
"Moulin Rouge!","Bazmark Films"
"Moulin Rouge!","Twentieth Century Fox Film Corporation"
"Domestic Disturbance","Paramount Pictures"
"Black Mass","Infinitum Nihil"
"Black Mass","Head Gear Films"
"Black Mass","Cross Creek Pictures"
"Black Mass","Free State Pictures"
"Black Mass","RatPac-Dune Entertainment"
"Black Mass","Le Grisbi Productions"
"Black Mass","Vendian Entertainment"
"Flags of Our Fathers","DreamWorks SKG"
"Flags of Our Fathers","Amblin Entertainment"
"Flags of Our Fathers","Malpaso Productions"
"Flags of Our Fathers","Warner Bros."
"Law Abiding Citizen","Film Department, The"
"Law Abiding Citizen","Evil Twins"
"Law Abiding Citizen","Warp Films"
"Grindhouse","Big Talk Productions"
"Grindhouse","Yer Dead Productions"
"Grindhouse","Weinstein Company, The"
"Grindhouse","Dimension Films"
"Grindhouse","Troublemaker Studios"
"Grindhouse","Dartmouth International"
"Grindhouse","Eyetronics"
"Grindhouse","Rodriguez International Pictures"
"Beloved","Harpo Films"
"Beloved","Touchstone Pictures"
"Lucky You","Village Roadshow Pictures"
"Lucky You","Lonely Film Productions GmbH & Co. KG."
"Lucky You","Deuce Three Productions"
"Lucky You","DiNovi Pictures"
"Lucky You","Warner Bros."
"Catch Me If You Can","Kemp Company"
"Catch Me If You Can","Splendid Pictures"
"Catch Me If You Can","Parkes/MacDonald Productions"
"Zero Dark Thirty","Columbia Pictures"
"Zero Dark Thirty","Annapurna Pictures"
"Zero Dark Thirty","First Light Production"
"The Break-Up","Universal Pictures"
"The Break-Up","Mosaic Media Group"
"The Break-Up","Wild West Picture Show Productions"
"Mamma Mia!","Universal Pictures"
"Mamma Mia!","Internationale Filmproduktion Richter"
"Mamma Mia!","Playtone"
"Mamma Mia!","Relativity Media"
"Mamma Mia!","Littlestar"
"Valentine's Day","New Line Cinema"
"Valentine's Day","Karz Entertainment"
"Valentine's Day","Rice Films"
"The Dukes of Hazzard","Village Roadshow Pictures"
"The Dukes of Hazzard","Gerber Pictures"
"The Dukes of Hazzard","Warner Bros."
"The Dukes of Hazzard","WV Films III"
"The Thin Red Line","Fox 2000 Pictures"
"The Thin Red Line","Phoenix Pictures"
"The Thin Red Line","Geisler-Roberdeau"
"The Change-Up","Universal Pictures"
"The Change-Up","Original Film"
"The Change-Up","Relativity Media"
"The Change-Up","Big Kid Pictures"
"Man on the Moon","Mutual Film Company"
"Casino","Universal Pictures"
"Casino","Légende Entreprises"
"Casino","Syalis DA"
"Casino","De Fina-Cappa"
"From Paris with Love","Apipoulaï"
"From Paris with Love","M6 Films"
"From Paris with Love","Canal+"
"From Paris with Love","TPS Star"
"From Paris with Love","Grive Productions"
"From Paris with Love","EuropaCorp"
"From Paris with Love","M6"
"From Paris with Love","W9"
"Bulletproof Monk","Metro-Goldwyn-Mayer (MGM)"
"Me, Myself & Irene","Twentieth Century Fox Film Corporation"
"Me, Myself & Irene","Conundrum Entertainment"
"Barnyard","Paramount Pictures"
"Barnyard","Nickelodeon Movies"
"Barnyard","Paramount Animation"
"Deck the Halls","Regency Enterprises"
"Deck the Halls","New Regency Pictures"
"Deck the Halls","Corduroy Films"
"Deck the Halls","All Lit Up Productions"
"Shrek","DreamWorks SKG"
"Shrek","Pacific Data Images (PDI)"
"Shrek","DreamWorks Animation"
"The Adjustment Bureau","Universal Pictures"
"The Adjustment Bureau","Media Rights Capital"
"The Adjustment Bureau","Gambit Pictures"
"The Adjustment Bureau","Electric Shepherd Productions"
"Jerry Maguire","Gracie Films"
"Jerry Maguire","TriStar Pictures"
"Ted","Universal Pictures"
"Ted","Media Rights Capital"
"Ted","Fuzzy Door Productions"
"As Good as It Gets","Gracie Films"
"As Good as It Gets","TriStar Pictures"
"Patch Adams","Universal Pictures"
"Patch Adams","Bungalow 78 Productions"
"Patch Adams","Blue Wolf"
"Patch Adams","Farrell/Minoff"
"Mr. Deeds","New Line Cinema"
"Mr. Deeds","Columbia Pictures Corporation"
"Mr. Deeds","Out of the Blue... Entertainment"
"Mr. Deeds","Happy Madison Productions"
"Super 8","Paramount Pictures"
"Super 8","Amblin Entertainment"
"Super 8","Bad Robot"
"Super 8","K/O Camera Toys"
"Erin Brockovich","Jersey Films"
"How to Lose a Guy in 10 Days","Paramount Pictures"
"22 Jump Street","Columbia Pictures"
"22 Jump Street","Original Film"
"22 Jump Street","Media Rights Capital"
"22 Jump Street","Metro-Goldwyn-Mayer (MGM)"
"22 Jump Street","Cannell Studios"
"22 Jump Street","LStar Capital"
"22 Jump Street","33andOut Productions"
"22 Jump Street","JHF Productions"
"Interview with the Vampire","Geffen Pictures"
"Yes Man","Village Roadshow Pictures"
"Yes Man","The Zanuck Company"
"Yes Man","Heyday films"
"Yes Man","Warner Bros."
"Central Intelligence","New Line Cinema"
"Central Intelligence","Universal Pictures"
"Central Intelligence","Bluegrass Films"
"Central Intelligence","Principato-Young Entertainment"
"Stepmom","Columbia Pictures"
"Stepmom","1492 Pictures"
"Daddy's Home","Paramount Pictures"
"Daddy's Home","Gary Sanchez Productions"
"Daddy's Home","Red Granite Pictures"
"Into the Woods","Walt Disney Pictures"
"Into the Woods","Marc Platt Productions"
"Into the Woods","Lucamar Productions"
"Inside Man","Imagine Entertainment"
"Inside Man","Universal Pictures"
"Inside Man","40 Acres & A Mule Filmworks"
"Payback","Paramount Pictures"
"Payback","Icon Entertainment International"
"Congo","Paramount Pictures"
"Congo","Kennedy/Marshall Company, The"
"We Bought a Zoo","Twentieth Century Fox Film Corporation"
"We Bought a Zoo","Dune Entertainment"
"We Bought a Zoo","Vinyl Films"
"We Bought a Zoo","LBI Entertainment"
"Knowing","Summit Entertainment"
"Knowing","Mystery Clock Cinema"
"Knowing","Escape Artists"
"Knowing","Goldcrest Pictures"
"Knowing","Kaplan/Perrone Entertainment"
"Knowing","Wintergreen Productions"
"Failure to Launch","Paramount Pictures"
"Failure to Launch","Scott Rudin Productions"
"Failure to Launch","Failure to Launch Productions"
"The Ring Two","DreamWorks"
"The Ring Two","BenderSpink"
"The Ring Two","Parkes+MacDonald Image Nation"
"Crazy, Stupid, Love.","Warner Bros."
"Garfield","Twentieth Century Fox Film Corporation"
"Garfield","Davis Entertainment"
"Garfield","Twentieth Century Fox Animation"
"Christmas with the Kranks","Columbia Pictures"
"Christmas with the Kranks","1492 Pictures"
"Christmas with the Kranks","Revolution Studios"
"Moneyball","Columbia Pictures"
"Moneyball","Scott Rudin Productions"
"Outbreak","Kopelson Entertainment"
"Outbreak","Punch Productions"
"Outbreak","Warner Bros."
"Outbreak","Arnold Kopelson Productions"
"Non-Stop","StudioCanal"
"Non-Stop","Silver Pictures"
"Non-Stop","TF1 Films Production"
"Non-Stop","Canal+"
"Non-Stop","Anton Capital Entertainment (ACE)"
"Non-Stop","TF1"
"Non-Stop","LOVEFiLM International"
"Race to Witch Mountain","Walt Disney Pictures"
"Race to Witch Mountain","Gunn Films"
"V for Vendetta","Studio Babelsberg"
"V for Vendetta","DC Comics"
"V for Vendetta","Virtual Studios"
"V for Vendetta","Anarchos Productions"
"V for Vendetta","Silver Pictures"
"V for Vendetta","Warner Bros."
"V for Vendetta","Medienboard Berlin-Brandenburg"
"V for Vendetta","Fünfte Babelsberg Film"
"Shanghai Knights","Spyglass Entertainment"
"Shanghai Knights","Touchstone Pictures"
"Shanghai Knights","Birnbaum / Barber Productions"
"Shanghai Knights","Jackie Chan Films Limited"
"Shanghai Knights","All Knight Productions"
"Curious George","Imagine Entertainment"
"Curious George","Universal Pictures"
"Curious George","Universal Animation Studios"
"Herbie Fully Loaded","Walt Disney Pictures"
"Herbie Fully Loaded","Robert Simonds Productions"
"Don't Say a Word","Village Roadshow Pictures"
"Don't Say a Word","NPV Entertainment"
